Date,State,Candidate_A,Candidate_B,Sample_Size,Polling_Methodology,Region_type,Historical_result,GDP,Unemployment
2023-06-01,California,47.19,59.24,1477,Phone,Suburban,Republican,1.29,6.06
2023-06-11,Texas,42.4,54.45,1663,Mixed,Urban,Other,1.94,5.75
2023-06-21,Florida,49.68,41.65,707,Mixed,Suburban,Democrat,2.79,5.34
2023-07-01,New York,46.32,42.08,1973,Online,Urban,Republican,1.2,5.53
2023-07-11,Pennsylvania,40.75,46.19,632,Mixed,Suburban,Democrat,1.93,5.92
2023-07-21,Illinois,48.08,40.71,757,Phone,Rural,Republican,1.51,5.24
2023-07-31,Ohio,42.62,45.77,1388,Mixed,Urban,Republican,1.39,4.82
2023-08-10,Georgia,44.85,48.38,1716,Online,Urban,Democrat,2.78,6.52
2023-08-20,North Carolina,43.16,44.1,1991,Online,Urban,Other,1.55,4.94
2023-08-31,Michigan,43.78,42.92,1633,Phone,Urban,Republican,1.26,3.53
